"id","title","year","language","authors"
"mdp.39015008882774","The Buenos Aires affair / Manuel Puig.","1973","spa","Puig, Manuel"
"inu.30000027285851","La consagracion de la primavera / Alejo Carpentier.","1989","spa","Carpentier, Alejo 1904-1980"
"txu.059173026562827","El beso de la mujer aran?a / Manuel Puig.","1988","spa","Puig, Manuel"
"mdp.39015027201717","En alg?n valle de l?grimas / Jos? Revueltas.","1979","spa","Revueltas, Jos? 1914-1976"
"uc1.32106018901717","El lugar sin li?mites / Jose? Donoso.","1987","spa","Donoso, Jose? 1924-"
"txu.059173004388781","Ficciones / Jorge Luis Borges.","1985","spa","Borges, Jorge Luis 1899-1986"
"uc1.32106007147165","Celestino antes del alba / Reinaldo Arenas.","1980","spa","Arenas, Reinaldo 1943-1990"
"mdp.39015056902086","Pubis angelical / Manuel Puig.","1979","spa","Puig, Manuel"
"inu.39000002009087","Juntacada?veres / Juan Carlos Onetti.","1980","spa","Onetti, Juan Carlos 1909-1994"
"uc1.b3881288","Sobre heroes y tumbas.","1991","spa","S?bato, Ernesto R"
"uc1.b3172362","El apando / Jose? Revueltas.","1978","spa","Revueltas, Jose? 1914-1976"
"txu.059173025512481","El luto humano ...","1943","spa","Revueltas, Jos? 1914-1976"
"mdp.39015005483436","Cobra / Severo Sarduy.","1981","spa","Sarduy, Severo"
"txu.059173026859407","Pedro Pa?ramo.","1971","spa","Rulfo, Juan"
"txu.059173024507464","Gracias por el fuego / Mario Benedetti.","1969","spa","Benedetti, Mario 1920-"
"txu.059173027958710","Concierto barroco / Alejo Carpentier.","1979","spa","Carpentier, Alejo 1904-1980"
"txu.059173027928367","El palacio de las blanqui?simas mofetas / Reinaldo Arenas.","1983","spa","Arenas, Reinaldo 1943-1990"
"txu.059173024078404","Para una Tumba Sin Nombre / Juan Carlos Onetti.","1974","spa","Onetti, Juan Carlos 1909-1994"
"mdp.49015000002668","La guerra del fin del mundo / Mario Vargas Llosa.","1986","spa","Vargas Llosa, Mario 1936-"
"inu.30000007098001","Rayuela / Julio Corta?zar.","1966","spa","Corta?zar, Julio"
"txu.059173027939443","Maitreya / Severo Sarduy.","1978","spa","Sarduy, Severo"
"uc1.32106005048894","De donde son los cantantes / Severo Sarduy.","1980","spa","Sarduy, Severo"
"uc1.32106015888248","El Aleph / Jorge Luis Borges","1986","spa","Borges, Jorge Luis 1899-1986"
"txu.059173027937700","Mulata de Tal.","1967","spa","Asturias, Miguel Angel"
"txu.059172010341853","Los motivos de Cai?n.","1968","spa","Revueltas, Jose? 1914-1976"
"txu.059173025294937","Aura.","1962","spa","Fuentes, Carlos"
"mdp.39015005277606","Tres tristes tigres","1967","spa","Cabrera Infante, G. (Guillermo) 1929-2005"
"uc1.b3162173","La princesa del Palacio de Hierro","1974","spa",""
"txu.059173026711111","El obsceno pa?jaro de la noche / Jose? Donoso.","1979","spa","Donoso, Jose? 1924-1996"
"mdp.39015034285265","La tregua / Mario Benedetti.","1960","spa","Benedetti, Mario 1920-"
"uva.x000161777","Hombres de maiz / Miguel A?ngel Asturias.","1979","spa","Asturias, Miguel Angel"
"inu.30000065094959","Obsesivos di?as circulares / Gustavo Sa?inz.","1998","spa","Sa?inz, Gustavo 1940-"
"txu.059173002175961","Los errores / Jose? Revueltas.","1980","spa","Revueltas, Jose? 1914-1976"
